pattern,pattern_tiles,pattern_connection,time_elapsed,spring_index,spring_type,last_impulse,last_force
ammannbeenker,72,hamiltonian,0.2,7,hull,-15.032048089639547,-3758.012022409887
ammannbeenker,72,hamiltonian,0.2,8,hull,-2.596326814371669,-649.0817035929173
ammannbeenker,72,hamiltonian,0.2,9,hull,-4.433525696792928,-1108.381424198232
ammannbeenker,72,hamiltonian,0.2,10,hull,-0.7207122957728938,-180.17807394322344
ammannbeenker,72,hamiltonian,0.2,11,hull,-5.885426921721302,-1471.3567304303253
ammannbeenker,72,hamiltonian,0.2,12,hull,-1.3035988765170912,-325.8997191292728
ammannbeenker,72,hamiltonian,0.2,13,hull,-8.032082863531743,-2008.0207158829357
ammannbeenker,72,hamiltonian,0.2,14,hull,-7.269757441964762,-1817.4393604911904
ammannbeenker,72,hamiltonian,0.2,15,hull,-14.30884665891528,-3577.21166472882
ammannbeenker,72,hamiltonian,0.2,16,hull,-6.373277108341422,-1593.3192770853555
ammannbeenker,72,hamiltonian,0.2,17,hull,-3.695844363580799,-923.9610908951997
ammannbeenker,72,hamiltonian,0.2,18,hull,-6.511612254635635,-1627.9030636589086
ammannbeenker,72,hamiltonian,0.2,19,hull,-4.6418718173169236,-1160.467954329231
ammannbeenker,72,hamiltonian,0.2,20,hull,-13.264191326963036,-3316.047831740759
ammannbeenker,72,hamiltonian,0.2,21,hull,-10.709274169704607,-2677.3185424261515
ammannbeenker,72,hamiltonian,0.2,22,hull,-7.8362539894903005,-1959.063497372575
ammannbeenker,72,hamiltonian,0.2,23,hull,-4.920749811578915,-1230.1874528947287
ammannbeenker,72,hamiltonian,0.2,24,hull,-7.930428403010456,-1982.607100752614
ammannbeenker,72,hamiltonian,0.2,25,hull,-2.3248420091018462,-581.2105022754615
ammannbeenker,72,hamiltonian,0.2,26,hull,-10.341617633985782,-2585.4044084964457
ammannbeenker,72,hamiltonian,0.2,27,hull,-4.020128923239656,-1005.0322308099139
ammannbeenker,72,hamiltonian,0.2,28,hull,-1.3184850060313469,-329.6212515078367
ammannbeenker,72,hamiltonian,0.2,29,hull,2.6655991066075893,666.3997766518974
ammannbeenker,72,hamiltonian,0.2,30,hull,-8.242765054447796,-2060.691263611949
ammannbeenker,72,hamiltonian,0.2,31,hull,1.6169521404099247,404.2380351024812
ammannbeenker,72,hamiltonian,0.2,32,hull,-1.6244440740369857,-406.1110185092464
ammannbeenker,72,hamiltonian,0.2,33,hull,1.1033926286182913,275.84815715457285
ammannbeenker,72,hamiltonian,0.2,34,hull,4.810880588363534,1202.7201470908835
ammannbeenker,72,hamiltonian,0.2,35,hull,-2.4065124145609595,-601.6281036402398
ammannbeenker,72,hamiltonian,0.2,36,hull,-6.37255046848343,-1593.1376171208576
ammannbeenker,72,hamiltonian,0.2,37,hull,-1.1053382231935684,-276.3345557983921
ammannbeenker,72,hamiltonian,0.2,38,hull,-4.959017105349492,-1239.754276337373
ammannbeenker,72,hamiltonian,0.2,39,hull,1.22448460601031,306.1211515025775
ammannbeenker,72,hamiltonian,0.2,40,hull,2.144791693898461,536.1979234746152
ammannbeenker,72,hamiltonian,0.2,41,hull,6.963304060752254,1740.8260151880634
ammannbeenker,72,hamiltonian,0.2,42,hull,18.12949533131596,4532.37383282899
ammannbeenker,72,hamiltonian,0.2,43,hull,4.259921845304824,1064.9804613262058
ammannbeenker,72,hamiltonian,0.2,44,hull,1.391560706871808,347.89017671795204
ammannbeenker,72,hamiltonian,0.2,45,hull,7.013287262068727,1753.3218155171817
ammannbeenker,72,hamiltonian,0.2,46,hull,11.004329104445224,2751.082276111306
ammannbeenker,72,hamiltonian,0.2,47,hull,3.189621111545994,797.4052778864985
ammannbeenker,72,hamiltonian,0.2,48,hull,4.0250113959107265,1006.2528489776817
ammannbeenker,72,hamiltonian,0.2,49,hull,13.42272582672743,3355.681456681857
ammannbeenker,72,hamiltonian,0.2,50,hull,18.31056628183933,4577.641570459832
ammannbeenker,72,hamiltonian,0.2,51,hull,5.1945893802572,1298.6473450642998
ammannbeenker,72,hamiltonian,0.2,52,hull,5.317735353657862,1329.4338384144655
ammannbeenker,72,hamiltonian,0.2,53,hull,18.563606037906997,4640.901509476749
ammannbeenker,72,hamiltonian,0.2,54,hull,24.912052312913264,6228.013078228316
ammannbeenker,72,hamiltonian,0.2,55,hull,7.4923752544388895,1873.0938136097222
ammannbeenker,72,hamiltonian,0.2,56,hull,4.0550925821121915,1013.7731455280478
ammannbeenker,72,hamiltonian,0.2,57,hull,16.039519901206898,4009.8799753017242
ammannbeenker,72,hamiltonian,0.2,58,hull,22.261509767574577,5565.377441893644
ammannbeenker,72,hamiltonian,0.2,59,hull,6.464230807681867,1616.0577019204666
ammannbeenker,72,hamiltonian,0.2,60,hull,-4.660986638375322,-1165.2466595938304
ammannbeenker,72,hamiltonian,0.2,61,hull,10.584134583197523,2646.033645799381
ammannbeenker,72,hamiltonian,0.2,62,hull,13.81682581202047,3454.2064530051175
ammannbeenker,72,hamiltonian,0.2,63,hull,0.3237308268758717,80.93270671896792
ammannbeenker,72,hamiltonian,0.2,64,hull,-6.3992255264261955,-1599.806381606549
ammannbeenker,72,hamiltonian,0.2,65,hull,7.550136717565687,1887.5341793914217
ammannbeenker,72,hamiltonian,0.2,66,hull,15.04971068197169,3762.4276704929225
ammannbeenker,72,hamiltonian,0.2,67,hull,3.675400221616319,918.8500554040797
ammannbeenker,72,hamiltonian,0.2,68,hull,-0.4889355207702563,-122.23388019256407
ammannbeenker,72,hamiltonian,0.2,69,hull,10.299133819844734,2574.7834549611835
ammannbeenker,72,hamiltonian,0.2,70,hull,17.44960621979026,4362.401554947565
ammannbeenker,72,hamiltonian,0.2,71,hull,5.566261472185356,1391.5653680463388
ammannbeenker,72,hamiltonian,0.3,0,hull,-17.771638258868567,-4442.909564717142
ammannbeenker,72,hamiltonian,0.3,1,hull,-16.042124152491272,-4010.531038122818
ammannbeenker,72,hamiltonian,0.3,2,hull,-13.541377759961987,-3385.3444399904965
ammannbeenker,72,hamiltonian,0.3,3,hull,-19.283882593831006,-4820.970648457751
ammannbeenker,72,hamiltonian,0.3,4,hull,-16.384753424854125,-4096.188356213531
ammannbeenker,72,hamiltonian,0.3,5,hull,-14.21177655768034,-3552.944139420085
ammannbeenker,72,hamiltonian,0.3,6,hull,-12.081108452636386,-3020.277113159096
ammannbeenker,72,hamiltonian,0.3,7,hull,-11.03684346672288,-2759.21086668072
ammannbeenker,72,hamiltonian,0.3,8,hull,-11.153853827899335,-2788.4634569748337
ammannbeenker,72,hamiltonian,0.3,9,hull,-7.590238066759429,-1897.5595166898572
ammannbeenker,72,hamiltonian,0.3,10,hull,-7.061130372106544,-1765.282593026636
ammannbeenker,72,hamiltonian,0.3,11,hull,-9.016314575674558,-2254.0786439186395
ammannbeenker,72,hamiltonian,0.3,12,hull,-7.144727582696918,-1786.1818956742295
ammannbeenker,72,hamiltonian,0.3,13,hull,-5.401442286888483,-1350.3605717221208
ammannbeenker,72,hamiltonian,0.3,14,hull,-6.8029432608800695,-1700.7358152200172
ammannbeenker,72,hamiltonian,0.3,15,hull,-6.34826715268742,-1587.066788171855
ammannbeenker,72,hamiltonian,0.3,16,hull,-4.326652714395395,-1081.6631785988486
ammannbeenker,72,hamiltonian,0.3,17,hull,-9.017151089268625,-2254.287772317156
ammannbeenker,72,hamiltonian,0.3,18,hull,-7.48160669957981,-1870.4016748949525
ammannbeenker,72,hamiltonian,0.3,19,hull,-5.744853947891042,-1436.2134869727604
ammannbeenker,72,hamiltonian,0.3,20,hull,-10.923205186442248,-2730.801296610562
ammannbeenker,72,hamiltonian,0.3,21,hull,-8.080090965661045,-2020.0227414152612
ammannbeenker,72,hamiltonian,0.3,22,hull,-5.658915179536164,-1414.728794884041
ammannbeenker,72,hamiltonian,0.3,23,hull,-1.2284336918966818,-307.1084229741705
ammannbeenker,72,hamiltonian,0.3,24,hull,-3.8368917484684966,-959.2229371171242
ammannbeenker,72,hamiltonian,0.3,25,hull,0.048081623764268076,12.020405941067018
ammannbeenker,72,hamiltonian,0.3,26,hull,-7.180202272246998,-1795.0505680617493
ammannbeenker,72,hamiltonian,0.3,27,hull,-2.4706307859741123,-617.6576964935281
ammannbeenker,72,hamiltonian,0.3,28,hull,-4.12067400541564,-1030.16850135391
ammannbeenker,72,hamiltonian,0.3,29,hull,2.1112351747232805,527.8087936808201
ammannbeenker,72,hamiltonian,0.3,30,hull,-4.378180581950863,-1094.5451454877157
ammannbeenker,72,hamiltonian,0.3,31,hull,2.1827160615355803,545.679015383895
ammannbeenker,72,hamiltonian,0.3,32,hull,-4.566289943976505,-1141.5724859941263
ammannbeenker,72,hamiltonian,0.3,33,hull,-3.362875578275536,-840.718894568884
